run,universe,direction,horizon_h,bucket,bucket_type,n_obs,n_days,n_symbols,mean_ret_gross,t_stat_gross,mean_ret_net,t_stat_clustered,p_value_raw,ci_lo_net,ci_hi_net,mean_ret_neutral,t_stat_neutral,mean_ret_neutral_net,t_stat_neutral_net,hit_rate_net,sharpe_daily_ann,max_dd,reliable,boot_ci_lo_net,boot_ci_hi_net,n_tests_bonferroni,p_value_bonferroni
R10,exec,long,48,int_BEAR,internal_trend,176558,730,721,-0.0004723153321109243,-0.22431913287968722,-0.0006062791233810892,-0.26000277029666385,0.7949352530937783,-0.0051841797132032115,0.003971621466441032,0.00030935514314476604,1.401960111378232,0.00014983508407626997,0.4688424940225221,0.42087854828843935,-0.27687109322406384,-0.7470136285617209,True,-0.005301798044510263,0.0039006668485934335,50,1.0
R10,exec,short,48,int_BEAR,internal_trend,176558,730,721,0.0004723153321109243,0.22431913287968722,-0.00019372087661891185,-0.08307718778823178,0.9338130332979324,-0.0047716214664410336,0.00438417971320321,-0.00030935514314476604,-1.401960111378232,-0.0009498350840762701,-2.972087962400911,0.47388482363335677,0.0848900707636287,-0.6070564112503762,True,-0.004700666848593442,0.004501798044510278,50,1.0
R10,exec,long,48,int_BULL,internal_trend,145653,730,718,-0.00274384426131326,-1.2705834310592619,-0.002885522625976367,-1.25336189453234,0.21047696307512231,-0.007405327812347954,0.0016342825603952206,-0.00040328200200328445,-1.5115813082543357,-0.0004561874484896187,-1.4503158369496565,0.40552119019339955,-0.3085115115384159,-0.7719671611441915,True,-0.007465362515091111,0.0016016392966525855,50,1.0
R10,exec,short,48,int_BULL,internal_trend,145653,730,718,0.00274384426131326,1.2705834310592619,0.0020855226259763678,0.9058721515653813,0.3653036474678098,-0.0024342825603952205,0.006605327812347956,0.00040328200200328445,1.5115813082543357,-0.00034381255151038107,-1.0930524065238996,0.5234969826372917,0.11278945502130568,-0.6345291926876923,True,-0.0024016392966525217,0.006665362515091136,50,1.0
R10,full,long,48,int_BEAR,internal_trend,188893,730,746,-0.0006585943287545019,-0.3144364483912095,-0.0008187371244781443,-0.3539331100956843,0.7234916343585067,-0.005360192068953724,0.0037227178199974362,0.00022850276402561055,1.0869857177860158,5.591435797823934e-05,0.1888741389184941,0.42215152012451096,-0.285351217129013,-0.7388055689561515,True,-0.0054488456309625495,0.0037423273115947692,50,1.0
R10,full,short,48,int_BEAR,internal_trend,188893,730,746,0.0006585943287545019,0.3144364483912095,1.8737124478143637e-05,0.008099899885480743,0.9935395077113035,-0.004522717819997437,0.004560192068953724,-0.00022850276402561055,-1.0869857177860158,-0.0008559143579782393,-2.8912088629190786,0.4746240054208863,0.09103718929984493,-0.5993517795627228,True,-0.004542327311594752,0.004648845630962602,50,1.0
R10,full,long,48,int_BULL,internal_trend,156670,730,747,-0.002636316708664352,-1.2192732108312805,-0.002726422265575146,-1.1876137034452598,0.23537350435931637,-0.007233443857629236,0.0017805993264789436,-0.0002816348774881069,-1.1092708760852132,-0.0002826916518584021,-0.9578704986028788,0.40892670223901556,-0.24617220864212006,-0.7493102128466067,True,-0.007398506675759271,0.0018116779560152557,50,1.0
R10,full,short,48,int_BULL,internal_trend,156670,730,747,0.002636316708664352,1.2192732108312805,0.0019264222655751468,0.8391383499563964,0.4016675146627783,-0.002580599326478943,0.006433443857629236,0.0002816348774881069,1.1092708760852132,-0.0005173083481415978,-1.7528441399253731,0.523717735964666,0.04815133626977443,-0.6256250110815054,True,-0.0026116779560151847,0.0065985066757593145,50,1.0
R11,exec,long,48,int_bear_BOS,last_event_int,89597,729,716,0.001750761693987775,0.7244261921774172,0.0018845760257031592,0.6958387939805812,0.48675247490423884,-0.0034325596343454147,0.007201711685751733,0.0006069348664839517,1.6674689261878555,0.0004936417593642618,1.0597148892525179,0.43170277117442885,-0.06194401990403641,-0.6824059249439421,True,-0.003596948212575807,0.006945236413262315,50,1.0
R11,exec,short,48,int_bear_BOS,last_event_int,89597,729,716,-0.001750761693987775,-0.7244261921774172,-0.002684576025703158,-0.9912214304952122,0.32190770969812754,-0.008001711685751731,0.0026325596343454156,-0.0006069348664839517,-1.6674689261878555,-0.0012936417593642615,-2.7770977794152545,0.4529636946016227,-0.1311096504275708,-0.6008455042983425,True,-0.007745236413262332,0.002796948212575786,50,1.0
R11,exec,long,48,int_bear_CHoCH,last_event_int,86961,730,715,-0.0027627792447541223,-1.2666245185131435,-0.003113822945392426,-1.3045679771246157,0.19245281983440257,-0.007799786642893977,0.001572140752109125,2.755052621186231e-06,0.008825699574557772,-0.00019627508812768637,-0.5020791244886811,0.4097259754148316,-0.35962577763660764,-0.7557896204587384,True,-0.007912759336066,0.0013562867892875177,50,1.0
R11,exec,short,48,int_bear_CHoCH,last_event_int,86961,730,715,0.0027627792447541223,1.2666245185131435,0.002313822945392426,0.9693997931904571,0.33266814721868576,-0.002372140752109124,0.006999786642893976,-2.755052621186231e-06,-0.008825699574557772,-0.0006037249118723138,-1.5443512372169457,0.49544058967606913,0.16789821868436078,-0.5772307592159813,True,-0.0021562867892875835,0.00711275933606593,50,1.0
