run,universe,direction,horizon_h,bucket,bucket_type,n_obs,n_days,n_symbols,mean_ret_gross,t_stat_gross,mean_ret_net,t_stat_clustered,p_value_raw,ci_lo_net,ci_hi_net,mean_ret_neutral,t_stat_neutral,mean_ret_neutral_net,t_stat_neutral_net,hit_rate_net,sharpe_daily_ann,max_dd,reliable,boot_ci_lo_net,boot_ci_hi_net,n_tests_bonferroni,p_value_bonferroni
R11,exec,long,48,int_bear_BOS,last_event_int,89597,729,716,0.001750761693987775,0.7244261921774172,0.0018845760257031592,0.6958387939805812,0.48675247490423884,-0.0034325596343454147,0.007201711685751733,0.0006069348664839517,1.6674689261878555,0.0004936417593642618,1.0597148892525179,0.43170277117442885,-0.06194401990403641,-0.6824059249439421,True,-0.003596948212575807,0.006945236413262315,50,1.0
R11,exec,short,48,int_bear_BOS,last_event_int,89597,729,716,-0.001750761693987775,-0.7244261921774172,-0.002684576025703158,-0.9912214304952122,0.32190770969812754,-0.008001711685751731,0.0026325596343454156,-0.0006069348664839517,-1.6674689261878555,-0.0012936417593642615,-2.7770977794152545,0.4529636946016227,-0.1311096504275708,-0.6008455042983425,True,-0.007745236413262332,0.002796948212575786,50,1.0
R11,exec,long,48,int_bear_CHoCH,last_event_int,86961,730,715,-0.0027627792447541223,-1.2666245185131435,-0.003113822945392426,-1.3045679771246157,0.19245281983440257,-0.007799786642893977,0.001572140752109125,2.755052621186231e-06,0.008825699574557772,-0.00019627508812768637,-0.5020791244886811,0.4097259754148316,-0.35962577763660764,-0.7557896204587384,True,-0.007912759336066,0.0013562867892875177,50,1.0
R11,exec,short,48,int_bear_CHoCH,last_event_int,86961,730,715,0.0027627792447541223,1.2666245185131435,0.002313822945392426,0.9693997931904571,0.33266814721868576,-0.002372140752109124,0.006999786642893976,-2.755052621186231e-06,-0.008825699574557772,-0.0006037249118723138,-1.5443512372169457,0.49544058967606913,0.16789821868436078,-0.5772307592159813,True,-0.0021562867892875835,0.00711275933606593,50,1.0
R11,exec,long,48,int_bull_BOS,last_event_int,58997,730,713,-0.0037285232614681168,-1.4181158362973039,-0.0038606978752490587,-1.4102863768045426,0.15888342690467325,-0.009235113169716432,0.001513717419218315,-0.0006178187624856172,-1.2538365604756851,-0.0006449305835594693,-1.2355266490675618,0.4081594603298361,-0.26465139733695153,-0.7706243242218986,True,-0.009206370756366156,0.0014152157151427647,50,1.0
R11,exec,short,48,int_bull_BOS,last_event_int,58997,730,713,0.0037285232614681168,1.4181158362973039,0.003060697875249062,1.1180518798560224,0.26391465966431776,-0.002313717419218312,0.008435113169716436,0.0006178187624856172,1.2538365604756851,-0.00015506941644053123,-0.29707444700514035,0.5452295801623757,0.07822407246118505,-0.6237534945582281,True,-0.002215215715142741,0.008406370756366199,50,1.0
R11,exec,long,48,int_bull_CHoCH,last_event_int,86656,729,711,-0.002073456671623731,-0.8960435404086182,-0.0021936260139627855,-0.8743001687130534,0.3822439276834925,-0.007119402963008367,0.002732150935082796,-0.000257221426184228,-0.7474106859187525,-0.00032227230268064945,-0.7839930720271199,0.4037249878834037,-0.31510560357491524,-0.7548789415117878,True,-0.0071423323998461566,0.002604410564580312,50,1.0
R11,exec,short,48,int_bull_CHoCH,last_event_int,86656,729,711,0.002073456671623731,0.8960435404086182,0.0013936260139627854,0.5554490379740884,0.5787586691926501,-0.0035321509350827963,0.006319402963008367,0.000257221426184228,0.7474106859187525,-0.00047772769731935124,-1.1621700093320766,0.5087008700870087,0.12201184553688378,-0.602586330299423,True,-0.0034044105645803543,0.006342332399846123,50,1.0
R11,exec,long,48,int_none,last_event_int,1008,358,4,0.001551158167200533,1.2987755857440288,0.000600938355692598,0.5026296577112539,0.6155345844625557,-0.0017503437544534404,0.002952220465838636,0.0009616615926276683,0.26270080678404306,1.144178111973309e-05,0.003125437735044828,0.00496031746031746,0.4879656469864545,-0.14237236184932722,True,-0.001274342300707934,0.0031345869963995136,50,1.0
R11,exec,short,48,int_none,last_event_int,1008,358,4,-0.001551158167200533,-1.2987755857440288,-0.0014009383556925971,-1.171756070362294,0.24207640959248372,-0.0037522204658386356,0.0009503437544534411,-0.0009616615926276683,-0.26270080678404306,-0.0008114417811197317,-0.22165349397653544,0.9315476190476191,-0.8389472191836782,-0.3970869599759953,True,-0.0039345869963995014,0.00047434230070794443,50,1.0
R11,exec,long,48,swing_bear_BOS,last_event_swing,95863,730,700,0.0014738970928883748,0.6353745052165106,0.0016873585439117884,0.638205134758623,0.523541130571175,-0.0035032562456062117,0.006877973333429788,-0.00010677193387504072,-0.30105003153844134,-0.0002567007767047648,-0.5033643456976858,0.4225437324626827,-0.3974976442346265,-0.7505228392337973,True,-0.003411605179371714,0.007112338582498367,50,1.0
R11,exec,short,48,swing_bear_BOS,last_event_swing,95863,730,700,-0.0014738970928883748,-0.6353745052165106,-0.0024873585439117887,-0.9407870072652582,0.3471265067916341,-0.007677973333429788,0.0027032562456062114,0.00010677193387504072,0.30105003153844134,-0.0005432992232952352,-1.0653550081252667,0.447870487237527,0.20563743275928473,-0.6106629074314616,True,-0.007912338582498282,0.0026116051793718077,50,1.0
R11,exec,long,48,swing_bear_CHoCH,last_event_swing,95211,730,708,-0.002285845387281948,-1.0276875393563818,-0.002639521903131699,-1.078467395110871,0.2811829167963043,-0.007444484035855721,0.0021654402295923233,0.0001315758081432155,0.44083261178337935,-8.138693076249465e-05,-0.2166391908407591,0.39850026780931974,-0.3983411913598555,-0.799738902266039,True,-0.0074358141745260505,0.0023332677722372485,50,1.0
R11,exec,short,48,swing_bear_CHoCH,last_event_swing,95211,730,708,0.002285845387281948,1.0276875393563818,0.001839521903131699,0.7515998987415298,0.45253494311336573,-0.002965440229592324,0.006644484035855722,-0.0001315758081432155,-0.44083261178337935,-0.0007186130692375056,-1.912834805154603,0.5006353907390487,0.2035808247849781,-0.5750509528758366,True,-0.0031332677722372385,0.006635814174525996,50,1.0
R11,exec,long,48,swing_bull_BOS,last_event_swing,44626,730,669,-0.0016371778643527674,-0.5556212464184327,-0.0017324781343060803,-0.5719620920607488,0.5675244609798458,-0.007679126175217597,0.004214169906605437,-8.461194314678535e-05,-0.13215325082753243,-0.0001350673746343819,-0.20270133439374982,0.43788374490207504,-0.2629001672279141,-0.7402518768253477,True,-0.007704822237348259,0.0037717055897235584,50,1.0
R11,exec,short,48,swing_bull_BOS,last_event_swing,44626,730,669,0.0016371778643527674,0.5556212464184327,0.0009324781343060801,0.3078492789822321,0.7582851974486624,-0.005014169906605437,0.006879126175217597,8.461194314678535e-05,0.13215325082753243,-0.0006649326253656181,-0.9978925762671981,0.5270470129520907,0.08680464088200844,-0.7705656712173254,True,-0.00457170558972355,0.006904822237348274,50,1.0
