hour,n,r0_net,r0_t,r1_spread,r1_t,r2_spread,r2_t,h1_net,h1_t,h1_n,h1_neutral,h1_neutral_t
0,356532,-0.0016907179003115553,-0.8700167121774903,0.0017678738686268468,1.1389177470029233,-0.004359942663068974,-5.254552609525301,0.004735418371527366,2.092461742159693,34034,0.0026749185397687615,3.5522102577754664
4,355789,-0.00172322438028779,-0.8995910319669568,0.0001917535858204309,0.12456849269169945,-0.003980407526651158,-5.176831405006156,0.004306710569695484,1.9913138071960683,34242,0.0026951511853175454,3.7603074558955263
8,355854,-0.0017854316672410741,-0.9588403750480573,0.0020103620328518292,1.2596818655866227,-0.0035101583695108674,-4.481074332259575,0.0037066686031407415,1.7616307892108036,34127,0.0022717670448629424,3.152601278765175
12,356093,-0.001755637770237017,-0.949341417402453,0.0014214324867873813,0.9168702825454966,-0.004047765659142806,-5.417700571181882,0.0044091320056089236,2.120958119912297,34216,0.003070877479244739,3.761973680507613
16,356255,-0.0018961293025757625,-1.0559710995784994,0.0013821464607319727,0.935842770960947,-0.0033346050487291505,-4.154059647457911,0.003502868263944544,1.7336042061110042,33961,0.002692638254081021,3.629816857838436
20,356273,-0.0016905798121589824,-0.8969357464118997,0.0007516246338565594,0.48518033886787615,-0.004500510343095799,-5.827591907362851,0.004380893395862918,1.9942750060742576,34197,0.002922042792695368,3.9275792254704536
