run,universe,direction,horizon_h,bucket,bucket_type,n_obs,n_days,n_symbols,mean_ret_gross,se_gross,t_stat_gross,median_ret_gross,mean_ret_net,se_net,t_stat_clustered,p_value_raw,ci_lo_net,ci_hi_net,median_ret_net,mean_ret_neutral,t_stat_neutral,ci_lo_neutral,ci_hi_neutral,mean_ret_neutral_net,t_stat_neutral_net,hit_rate_gross,hit_rate_net,mean_ret_net_dayeq,sharpe_daily_ann,max_dd,mean_net_slip5bp,mean_net_slip10bp,mean_net_slip20bp,funding_cov,mean_stop_pct_1atr,mean_funding_paid,reliable,boot_ci_lo_net,boot_ci_hi_net,n_tests_bonferroni,p_value_bonferroni,n_tests_family,p_value_bonferroni_family
R3,exec,long,24,Q1,quintile,60443,730,697,-0.000598605873251365,0.0014588690306284186,-0.410321873097485,-0.0011926058437685683,-0.002650557241644896,0.0014772885148093059,-1.7942041890084282,0.07319540687648413,-0.005550811316251984,0.0002496968329621925,-0.00392022052482147,0.00013114140196755582,0.40871905975377654,-0.0004987775338104914,0.000761060337745603,-0.0018997082646814902,-5.719263565300033,0.46843359142346636,0.4487624909006684,-0.00260691189430109,-1.171859437588835,-0.9378888854930869,-0.002150557241644898,-0.002650557241644899,-0.0036505572416448986,0.9861193832307591,0.10129982065143718,5.122347907054445e-05,True,,,194,1.0,10,0.7319540687648413
R3,exec,long,24,Q2,quintile,60719,730,698,-0.0006992716066137861,0.0014210735404506737,-0.49207277928207843,-0.0013812154696133394,-0.0027364832611762,0.0014408958657335588,-1.8991540792457329,0.05793927484403285,-0.00556529027063007,9.232374827766992e-05,-0.004145922040458881,7.829309785289496e-06,0.031766158358303466,-0.0004760404854597683,0.0004916991050303473,-0.001993212276761212,-7.570789352283811,0.4666919187760412,0.44707761729879286,-0.0025983615981547735,-1.1988566914116763,-0.9457267428787719,-0.002236483261176203,-0.0027364832611762027,-0.0037364832611762027,0.9852769223168262,0.09917091065208702,1.7108281377970314e-05,True,,,194,1.0,10,0.5793927484403285
R3,exec,long,24,Q3,quintile,60748,730,700,-4.7423831065882856e-05,0.0013990768175274515,-0.033896516954439744,-0.001035250607383742,-0.002033675236307442,0.0014274905439410832,-1.4246505834587004,0.15468675848703892,-0.004836164543592576,0.0007688140709776916,-0.004123000761219379,0.0006938141854228501,2.6989039862706985,0.00018912328745839435,0.0011985050833873058,-0.001295827223251737,-4.8874630755458295,0.46288827799634563,0.4422130405438773,-0.001919131089186755,-0.8951648564743927,-0.9203255315826635,-0.0015336752363074445,-0.0020336752363074445,-0.003033675236307444,0.9783370919685921,0.10033639921264065,-5.553432167314739e-05,True,,,194,1.0,10,1.0
R3,exec,long,24,Q4,quintile,60721,730,705,-0.0010302994381153965,0.0013303693096582859,-0.7744461862097795,0.0,-0.00296919912634329,0.0014365048312631784,-2.066960765967177,0.03909082536358638,-0.005789385534278367,-0.00014901271840821314,-0.005031359886012233,-0.00032328242685278016,-1.3773587734131574,-0.0007840742354189244,0.00013750938171336417,-0.002236150798747844,-8.49393096232262,0.4260799393949375,0.4085571713245829,-0.002728922627461862,-1.290574325680715,-0.9557689523271123,-0.0024691991263432913,-0.0029691991263432922,-0.003969199126343292,0.9249847663905404,0.09630956969125899,-0.00015394582345191346,True,,,194,1.0,10,0.3909082536358638
R3,exec,long,24,Q5,quintile,61020,730,717,-0.001498870852435842,0.0014098345096633452,-1.0631537546869652,-0.0034368221669320853,-0.002665452568435175,0.0014707843568444038,-1.8122660579243273,0.0703569454443143,-0.005552937498457104,0.00022203236158675407,-0.007771515931766946,-0.0007793046596205977,-1.8298077975841842,-0.0016154302799015505,5.682096066035494e-05,-0.0019643402247526503,-4.411138456722304,0.4201901016060308,0.4054900032776139,-0.002555376720361219,-1.1824819196543854,-0.9346781955610955,-0.0021654525684351765,-0.0026654525684351765,-0.0036654525684351766,0.9580301540478532,0.0983720128031042,-0.0008798986850613279,True,,,194,1.0,10,0.703569454443143
R3,exec,long,48,Q1,quintile,60441,730,697,-0.0011713551131072066,0.0020634787599658117,-0.5676603684191127,-0.002593360995850613,-0.003218656562068398,0.002093573203941534,-1.5373986235631454,0.12463081580512084,-0.007328827366629288,0.0008915142424924917,-0.005638784132331208,0.00030210634301922274,0.6427298884429035,-0.0006206798329820737,0.0012248925190205193,-0.0016658157357964038,-3.428460837303339,0.4622460459268083,0.4453378333664218,-0.003152353724680273,-0.7055043063781323,-0.8588076137686624,-0.002718656562068399,-0.0032186565620684004,-0.004218656562068399,0.9840348090794785,0.10129982065143718,2.506910270851223e-05,True,-0.007346183559215207,0.0008281797782556114,194,1.0,10,1.0
R3,exec,long,48,Q2,quintile,60719,730,698,-0.0011201115972612418,0.002033346882478492,-0.5508708852942558,-0.0024273577496964904,-0.0030946647033717723,0.002065036345847588,-1.4986005982870854,0.13441135195325507,-0.007148811022726791,0.0009594816159832456,-0.00559722621898696,0.0003161043817420722,0.8291284792101115,-0.00043237254233510227,0.0010645813058192467,-0.001568141555295059,-3.858753727704495,0.4649626982427826,0.44783518058002997,-0.0028411342166641284,-0.6460903387869743,-0.8601103879196892,-0.0025946647033717745,-0.0030946647033717758,-0.004094664703371776,0.9830371700070816,0.09917091065208702,-5.829329161850752e-05,True,-0.007155063912734773,0.0010824712500845132,194,1.0,10,1.0
R3,exec,long,48,Q3,quintile,60746,730,700,-0.0009390962855661463,0.0019892704856538297,-0.4720807413263792,-0.0025982692658501616,-0.0029138923007039643,0.0020291403374929824,-1.436023052158186,0.1514259180356995,-0.006897566412418187,0.0010697818110102582,-0.0061308003122639175,0.0005382357815881499,1.4631895738465936,-0.00018393797159978978,0.0012604095347760894,-0.0013965175637305112,-3.6957894703871994,0.4549210686595664,0.43872327116495746,-0.0025912979611816054,-0.595407175381413,-0.8557326913779439,-0.002413892300703967,-0.002913892300703968,-0.003913892300703968,0.9761971390475563,0.10033639921264065,-0.00019666796957995938,True,-0.0070642111509669194,0.0012057061284289315,194,1.0,10,1.0
R3,exec,long,48,Q4,quintile,60721,730,705,-0.0018469875362422128,0.0018885252861973098,-0.9780051925919739,0.0,-0.003687334511323276,0.0020438647353580677,-1.804099091066947,0.07162955969859443,-0.007699916038410351,0.000325247015763799,-0.007127327910812414,-0.0004123021970735216,-1.1263010461526288,-0.0011309744766667437,0.00030637008251970064,-0.0022020832297264975,-5.38511566676845,0.42211096655193425,0.40829367105284825,-0.0031457000967690858,-0.729990624174349,-0.8920057333090465,-0.003187334511323276,-0.003687334511323277,-0.004687334511323278,0.9232720146242651,0.09630956969125899,-0.00035524622863972643,True,-0.007762993352048783,0.00040319705076935025,194,1.0,10,0.7162955969859442
R3,exec,long,48,Q5,quintile,61020,730,717,-0.002861286485429226,0.0019772651847967814,-1.4470929379780195,-0.005951151972303836,-0.0034347926129560816,0.0020689032735314128,-1.6601997091402108,0.0973055036357218,-0.007496530610137068,0.0006269453842249048,-0.01103225806451613,-0.0014075494813262693,-2.3073433557156227,-0.0026051753730396204,-0.00020992358961291827,-0.0019831481005411038,-3.0960628866063984,0.41415929203539825,0.40262209111766634,-0.0031324467063833777,-0.7212861766873809,-0.8399291174077603,-0.0029347926129560816,-0.0034347926129560833,-0.0044347926129560825,0.9552441822353327,0.0983720128031042,-0.0014666370080118091,True,-0.0075846644401404125,0.00040528147880758447,194,1.0,10,0.9730550363572179
