run,universe,direction,horizon_h,bucket,bucket_type,n_obs,n_days,n_symbols,mean_ret_gross,se_gross,t_stat_gross,median_ret_gross,mean_ret_net,se_net,t_stat_clustered,p_value_raw,ci_lo_net,ci_hi_net,median_ret_net,mean_ret_neutral,t_stat_neutral,ci_lo_neutral,ci_hi_neutral,mean_ret_neutral_net,t_stat_neutral_net,hit_rate_gross,hit_rate_net,mean_ret_net_dayeq,sharpe_daily_ann,max_dd,mean_net_slip5bp,mean_net_slip10bp,mean_net_slip20bp,funding_cov,mean_stop_pct_1atr,mean_funding_paid,reliable,boot_ci_lo_net,boot_ci_hi_net,n_tests_bonferroni,p_value_bonferroni,n_tests_family,p_value_bonferroni_family
R5,exec,long,24,Q1,quintile,64338,730,470,-0.00023598483122417462,0.0006781677951245786,-0.3479741045220593,0.0,-0.002396478267876165,0.001095454708660171,-2.1876561841678055,0.029011954269843522,-0.004547105549202652,-0.0002458509865496776,-0.0022999999999999982,0.0005082525083070741,0.7218056825688527,-0.0008741323428488043,0.0018906373594629526,-0.0016662522166229212,-2.51511957779523,0.2623055283567243,0.2433751418224771,-0.002306178522613982,-1.5918480115656681,-0.8954712449609781,-0.0018964782678761677,-0.0023964782678761675,-0.0033964782678761675,0.6181905783248628,0.03065738371996264,1.9461635449403067e-05,True,,,194,1.0,10,0.2901195426984352
R5,exec,long,24,Q2,quintile,64660,730,607,-0.0012310028239997121,0.001368188240316164,-0.8997320600528251,-0.002067183462532318,-0.0031618729413559936,0.0013710777128114087,-2.3061223385161305,0.02138386827405938,-0.005853611002893387,-0.00047013487981860044,-0.004197506042667843,-0.0005009901855964681,-1.7809810596099123,-0.0010532451764806367,5.126480528770054e-05,-0.0024163912330769487,-8.521079896354484,0.47299721620785645,0.4516548097742035,-0.0027894143379824836,-1.3596754513711176,-0.9532098772914822,-0.002661872941355997,-0.0031618729413559967,-0.004161872941355997,0.9966285184039592,0.07034299676394278,-7.773550231215693e-05,True,,,194,1.0,10,0.2138386827405938
R5,exec,long,24,Q3,quintile,64652,730,637,-0.0011176771703554009,0.0015120129281330423,-0.739198157343438,-0.0033409432700056696,-0.0030235294567133274,0.0015154185991960033,-1.9951777405381217,0.04639579807592516,-0.005998641578004619,-4.841733542203632e-05,-0.0054850649611426685,-0.000389089654441867,-1.154908573343854,-0.001050501258814368,0.00027232194993063416,-0.002284892885616932,-6.726205124535246,0.46506735959661577,0.44729556246423213,-0.0027459030767277384,-1.2124199652462273,-0.9560589108079541,-0.002523529456713329,-0.0030235294567133295,-0.004023529456713329,0.9965972189998917,0.08383075264562656,-0.00012602221563484884,True,,,194,1.0,10,0.46395798075925154
R5,exec,long,24,Q4,quintile,64660,730,658,-0.000994651925587824,0.0015411195073888725,-0.6454086920702655,-0.0043313732584059905,-0.002822065255546769,0.0015465376074849252,-1.8247634211341202,0.06844642051174958,-0.005858271083099852,0.00021414057200631323,-0.006499925758689067,-0.0002646392871845808,-0.74767079710128,-0.0009595253994756818,0.00043024682510652023,-0.0020698076262832374,-5.778064208241833,0.4589699969068976,0.4427776059387566,-0.0026554703425428457,-1.1300432684057289,-0.95451437613739,-0.002322065255546772,-0.0028220652555467724,-0.003822065255546772,0.9957315187132694,0.10083537132307847,-0.00019258746909170377,True,,,194,1.0,10,0.6844642051174958
R5,exec,long,24,Q5,quintile,64928,730,636,-4.346561250421458e-05,0.0015709638663888913,-0.027668117284025864,-0.00574942198177153,-0.0015063264650919004,0.0015890017805161728,-0.9479702814446086,0.34345914491718504,-0.004625899143212147,0.0016132462130283463,-0.008224933518095388,0.0006854999834218454,1.1891452113768832,-0.00044622861218429415,0.001817228579027985,-0.0007720784815062753,-1.3155119107867117,0.4479200357313373,0.43555268062036995,-0.0017967686859514664,-0.7233038578683457,-0.9201042641867734,-0.0010063264650919024,-0.0015063264650919026,-0.0025063264650919026,0.9871089959802245,0.17911723707691943,-0.0005224269947887479,True,,,194,1.0,10,1.0
R5,exec,long,48,Q1,quintile,64335,730,469,-0.0004402149699155026,0.0009605222598223113,-0.4583079313507411,0.0,-0.0027056676920688047,0.001552669112588275,-1.742591303023024,0.0818278665455134,-0.005753918043997752,0.00034258265986014235,-0.0025999999999999964,0.001048301661771367,1.053056727874329,-0.0009060568708126235,0.0030026601943553576,-0.0012769034660596492,-1.3496438750813593,0.2613574548110847,0.2455199639421209,-0.0025661031867595554,-0.8792335570796251,-0.7792200554354193,-0.0022056676920688065,-0.002705667692068808,-0.0037056676920688074,0.6173668422934054,0.03065738371996264,-1.5728143094503426e-06,True,-0.005879661909473414,0.00042059469306197456,194,1.0,10,0.818278665455134
R5,exec,long,48,Q2,quintile,64660,730,607,-0.0025529250191734377,0.001936078098931857,-1.3186064242872733,-0.0036348032433488053,-0.004406819986983921,0.0019433594729832324,-2.267629868919235,0.023644472586133548,-0.008222086323782902,-0.0005915536501849409,-0.005862927836366478,-0.0010806677528695352,-2.680213633000123,-0.001872243560189602,-0.00028909194554946837,-0.0028686437895721092,-7.033937459000965,0.4676925456232601,0.4504484998453449,-0.0035830256913877484,-0.8611556538622669,-0.8930485297615235,-0.003906819986983924,-0.0044068199869839245,-0.0054068199869839245,0.9944633467367769,0.07034299676394278,-0.0001797559642001808,True,-0.008175580639886859,-0.0006715812327961124,194,1.0,10,0.23644472586133547
R5,exec,long,48,Q3,quintile,64651,730,637,-0.0022769491986970283,0.002143265929084044,-1.0623736269955617,-0.0053879310344827624,-0.00410703535181778,0.0021514437967547354,-1.9089670657503968,0.05665979770440797,-0.00833081958082241,0.00011674887718685165,-0.0076488216681392185,-0.0007935640266407832,-1.6247735665599596,-0.0017524321024644913,0.000165304049182925,-0.0025654276150189627,-5.179589473140473,0.45906609128733394,0.44431039549595536,-0.0035748423758814748,-0.77972219443102,-0.8913117562388666,-0.0036070353518177817,-0.0041070353518177834,-0.0051070353518177835,0.9944472800952778,0.08383075264562656,-0.0002631971187047071,True,-0.00841989386547669,0.00013449115462745018,194,1.0,10,0.5665979770440797
R5,exec,long,48,Q4,quintile,64660,730,658,-0.002196088903154114,0.002187300550885523,-1.0040178988045485,-0.0072897986893676325,-0.003904127699566563,0.0021982217921169334,-1.776039030077491,0.07614468095361128,-0.008219748005987362,0.0004114926068542373,-0.009538858581560226,-0.0007238316368502109,-1.4411290549891864,-0.001709894082734672,0.0002622308090342502,-0.0023635884118764832,-4.63219667157916,0.45431487782245594,0.44234457160532015,-0.003573834563841416,-0.7511419949624347,-0.8932104364729574,-0.0034041276995665642,-0.0039041276995665656,-0.004904127699566566,0.9934580884627281,0.10083537132307847,-0.0003603475788097281,True,-0.008321366402998118,0.00040457363049059607,194,1.0,10,0.7614468095361128
R5,exec,long,48,Q5,quintile,64927,730,636,3.57854126787934e-05,0.0022127078818948874,0.016172678269735268,-0.00960139656677328,-0.0008960641380051151,0.0022476533004196463,-0.3986665282576348,0.690255996422337,-0.005308729984495263,0.0035166017084850326,-0.012172454648187633,0.0015179945982927443,1.878427452097866,-6.85253302420512e-05,0.00310451452682754,0.0006274119800687822,0.7530595198577328,0.4405735495695298,0.42937670378413345,-0.0013746407180600189,-0.27604604465540183,-0.8183441661048867,-0.0003960641380051147,-0.0008960641380051165,-0.001896064138005117,0.983920898211893,0.17911723707691943,-0.001021145796352835,True,-0.005368715529282947,0.003438844183689003,194,1.0,10,1.0
