skema,equity_median,cagr,n_trades,win_rate,maxdd
"Baseline: koin acak, tanpa filter",85.62849742107892,-0.07485012134138841,1089,0.44995408631772266,-0.27852533116592953
"Skema 1: H1, pilih acak, tanpa stop",105.87374519084743,0.02899861971411244,1086,0.45119705340699817,-0.23239665097205348
"Skema 2: H1, pilih acak, stop 3%/6%",120.84122610605398,0.09955840234780533,1087,0.37994480220791166,-0.05189961242723429
"Skema 3: H1, funding paling negatif",337.068733284278,0.8390101341076612,1087,0.41214351425942963,-0.3026359238312907
Skema 3b: + stop 3%/6%,422.87837290607297,1.0604777229852402,1087,0.46550137994480223,-0.024433928040284658
Skema 3 dgn notional TETAP $6,168.55704845986273,0.2992266624750941,1087,0.4204231830726771,-0.2671602537322656
Skema 3 dgn 6 slot (langgar aturan),269.5630019548791,0.6440753140720437,2161,0.41323461360481256,-0.41366761417597697
