run,universe,direction,bucket,bucket_type,n_obs,n_days,n_symbols,mean_ret_net,t_stat_clustered,p_value_raw,ci_lo_net,ci_hi_net,mean_ret_neutral_net,t_stat_neutral_net,hit_rate_net,n_tests_cumulative,p_value_bonferroni
R14,full,long,in_bear_FVG,fvg_position,725,267,93,-0.0051272297169574705,-2.1246350096988738,0.03453933046654343,-0.00987868914628779,-0.0003757702876271496,0.0008529748537592442,0.18786652341458243,0.004879491349992607,342,1.0
R14,full,short,in_bear_FVG,fvg_position,725,267,93,0.004327229716957466,1.7931288940010333,0.07408830054770396,-0.00042422971237285594,0.009078689146287788,-0.001652974853759244,-0.3640654090784344,0.09832914387106313,342,1.0
R14,full,long,in_bull_FVG,fvg_position,21984,728,727,-0.00471245250668569,-1.986295242780602,0.047375631743421596,-0.009370188868181414,-5.471614518996488e-05,-0.0015919854781896487,-2.2316206570243127,0.35626047309146175,342,1.0
R14,full,short,in_bull_FVG,fvg_position,21984,728,727,0.003912452506685692,1.6490958350475655,0.09956000740814418,-0.0007452838548100329,0.008570188868181417,0.0007919854781896493,1.1101930120626093,0.49097852772690076,342,1.0
R14,full,long,outside,fvg_position,296483,728,748,-0.0014669606231729213,-0.736951657000064,0.4613895025828806,-0.005374930214922899,0.002441008968577057,2.7994705451640053e-06,0.01718951108805332,0.42821023305515976,342,1.0
R14,full,short,outside,fvg_position,296483,728,748,0.0006669606231729176,0.3350585752860649,0.7376775534866304,-0.0032410089685770602,0.004574930214922895,-0.0008027994705451636,-4.929407249616543,0.5077663851007531,342,1.0
R14,full,long,Q1,fvg_dist_bull_quintile,47044,728,739,-0.0024155514220903685,-1.2054802458656524,0.22841017092339255,-0.006349493019087913,0.0015183901749071765,-0.000188802254489171,-0.46608748096277935,0.39474388891014117,342,1.0
R14,full,short,Q1,fvg_dist_bull_quintile,47044,728,739,0.0016155514220903679,0.8062404748248999,0.42036785227009615,-0.0023183901749071773,0.005549493019087913,-0.0006111977455108298,-1.508835889412601,0.4920240235645155,342,1.0
R14,full,long,Q2,fvg_dist_bull_quintile,50215,728,743,-0.0025169100975638743,-1.2210265924179042,0.22247179294582906,-0.006563733936463932,0.0015299137413361833,-0.00037911438256053084,-0.9364906498661479,0.4288350678259546,342,1.0
R14,full,short,Q2,fvg_dist_bull_quintile,50215,728,743,0.001716910097563874,0.8329232291393381,0.40516157025441135,-0.0023299137413361837,0.005763733936463932,-0.0004208856174394689,-1.0396742079081391,0.521165883449706,342,1.0
R14,full,long,Q3,fvg_dist_bull_quintile,50591,728,739,-0.0020419024141257957,-0.9931283711316848,0.32097782598001257,-0.0060783685457312595,0.0019945637174796677,6.73861798893047e-05,0.16602088739868276,0.4326838920811294,342,1.0
R14,full,short,Q3,fvg_dist_bull_quintile,50591,728,739,0.0012419024141257962,0.6040291216234758,0.546012715250193,-0.002794563717479667,0.005278368545731259,-0.0008673861798893046,-2.1369993600932955,0.5243540469576468,342,1.0
R14,full,long,Q4,fvg_dist_bull_quintile,50178,728,730,-0.0030474021078656013,-1.465056658341156,0.14333777563328473,-0.007131038467956587,0.0010362342522253843,-0.0009965665873583258,-2.374706964842006,0.42799794524457296,342,1.0
R14,full,short,Q4,fvg_dist_bull_quintile,50178,728,730,0.0022474021078656005,1.0804519080695136,0.28029928303343626,-0.001836234252225385,0.006331038467956586,0.00019656658735832502,0.4683962416323723,0.5213371130686251,342,1.0
R14,full,long,Q5,fvg_dist_bull_quintile,49914,728,679,-0.0008593963716192888,-0.40721574452445136,0.6839694085073099,-0.005002641931334205,0.0032838491880956265,0.0011666862207587584,1.8437568651280818,0.4221053229133158,342,1.0
R14,full,short,Q5,fvg_dist_bull_quintile,49914,728,679,5.939637161928924e-05,0.028144333033924794,0.9775547592624495,-0.004083849188095626,0.004202641931334204,-0.001966686220758757,-3.108026096955632,0.5153556493273034,342,1.0
R15,full,long,in_bear_OB,ob_position,19991,723,722,0.00011803197200000014,0.038316869321379655,0.9694456328372012,-0.005929614276371166,0.006165678220371166,-0.001409068665460262,-2.1312105673258843,0.4460421205519245,342,1.0
R15,full,short,in_bear_OB,ob_position,19991,723,722,-0.0009180319720000002,-0.2980218876964322,0.7657721973932011,-0.006965678220371166,0.005129614276371166,0.0006090686654602622,0.9212138541395958,0.5153715807310578,342,1.0
R15,full,long,in_bull_OB,ob_position,20610,722,721,-0.006407341286007303,-2.4809389231987984,0.013330678690749715,-0.011477709861243935,-0.001336972710770672,5.956331953942959e-05,0.09271105215140774,0.4013645400325321,342,1.0
R15,full,short,in_bull_OB,ob_position,20610,722,721,0.005607341286007307,2.171176878387258,0.030243284640978953,0.0005369727107706768,0.010677709861243938,-0.0008595633195394296,-1.3379210621816253,0.5232694740647027,342,1.0
R15,full,long,outside,ob_position,278591,728,747,-0.0014808409357789413,-0.7419478833365741,0.45835853756411055,-0.005399222551603791,0.0024375406800459087,-2.372192526820841e-05,-0.14086257099456304,0.41346536476918067,342,1.0
R15,full,short,outside,ob_position,278591,728,747,0.0006808409357789378,0.34112272222158735,0.7331097587774792,-0.003237540680045912,0.004599222551603788,-0.0007762780747317915,-4.609597415770302,0.4955980386030802,342,1.0
R15,full,long,Q1,ob_imbalance_quintile,65512,728,368,-0.0025621954781335945,-1.1059645778986489,0.2691076937431313,-0.007110429074672504,0.0019860381184053145,-0.0010199015562864003,-1.5658869017230803,0.4293259630133418,342,1.0
R15,full,short,Q1,ob_imbalance_quintile,65512,728,368,0.0017621954781335942,0.7606467948216831,0.44711468697861206,-0.002786038118405314,0.006310429074672502,0.00021990155628640067,0.33762176803728744,0.5138917026018002,342,1.0
R15,full,long,Q2,ob_imbalance_quintile,64573,728,460,-0.002666198796013297,-1.2301572120919746,0.21903614638278046,-0.006921238627198522,0.0015888410351719271,-0.0011325279917896818,-2.519127927442854,0.42792234018001385,342,1.0
R15,full,short,Q2,ob_imbalance_quintile,64573,728,460,0.0018661987960132992,0.8610452872253379,0.3894969868922148,-0.0023888410351719253,0.006121238627198523,0.000332527991789682,0.7396554935919316,0.49825467343641816,342,1.0
R15,full,long,Q3,ob_imbalance_quintile,63826,728,584,-0.002387815186963325,-1.1423089770743844,0.2537016797412355,-0.006491640247798754,0.0017160098738721037,-0.0008216696365014695,-2.068547581147111,0.4203656480961231,342,1.0
R15,full,short,Q3,ob_imbalance_quintile,63826,728,584,0.001587815186963325,0.7595962836260771,0.44774217342382566,-0.0025160098738721036,0.005691640247798754,2.166963650146985e-05,0.05455315881004012,0.4944461252539223,342,1.0
R15,full,long,Q4,ob_imbalance_quintile,62353,728,696,-0.002449648816114222,-1.2409808068633421,0.21501313030678662,-0.006324994805861142,0.0014256971736326986,-0.0008112493993572595,-2.004130556255739,0.4022905608123702,342,1.0
R15,full,short,Q4,ob_imbalance_quintile,62353,728,696,0.0016496488161142227,0.835704491760557,0.40359573737409743,-0.0022256971736326968,0.005524994805861142,1.1249399357259605e-05,0.02779079406316962,0.4891097392107085,342,1.0
R15,full,long,Q5,ob_imbalance_quintile,62928,728,655,0.0016355511994787188,1.0154982305641245,0.31020622427873296,-0.0015264111318947216,0.004797513530852159,0.003328000798195267,4.049172703688164,0.3934101574272061,342,1.0
R15,full,short,Q5,ob_imbalance_quintile,62928,728,655,-0.002435551199478718,-1.5122106445259897,0.1309148397249307,-0.005597513530852158,0.0007264111318947223,-0.004128000798195268,-5.022531293237538,0.49706528134552186,342,1.0
R16,full,long,Q1,poc_dist_quintile,61643,728,688,-0.0012778415807513947,-0.5874699033922529,0.5570705684305187,-0.0055481880526445275,0.0029925048911417377,0.00026564280033760924,0.4510043025510463,0.44448836326840374,342,1.0
R16,full,short,Q1,poc_dist_quintile,61643,728,688,0.00047784158075139555,0.21968102424383198,0.8261812507563541,-0.003792504891141737,0.004748188052644528,-0.0010656428003376097,-1.8092321242058662,0.5245857576524159,342,1.0
R16,full,long,Q2,poc_dist_quintile,62907,728,714,-0.002404102825999824,-1.1406685107401004,0.25438351641924767,-0.006541862906188488,0.0017336572541888397,-0.000820783259590159,-1.9942122367497113,0.45583278203068395,342,1.0
R16,full,short,Q2,poc_dist_quintile,62907,728,714,0.0016041028259998248,0.7610945596082173,0.44684738262095425,-0.002533657254188839,0.005741862906188488,2.078325959015894e-05,0.050495950191450124,0.5293450524525092,342,1.0
R16,full,long,Q3,poc_dist_quintile,63058,728,729,-0.0019995105393709354,-0.9738923839205256,0.3304339018011,-0.006030247401076965,0.002031226322335094,-0.0004252578062599119,-1.1363270747428176,0.4593488254927892,342,1.0
R16,full,short,Q3,poc_dist_quintile,63058,728,729,0.0011995105393709366,0.5842400706191234,0.5592400458329446,-0.0028312263223350927,0.005230247401076966,-0.00037474219374008817,-1.0013448184302562,0.5271742553057497,342,1.0
R16,full,long,Q4,poc_dist_quintile,63042,728,736,-0.0018884336339062442,-0.9442097510725688,0.3453761560466259,-0.005814927873318072,0.0020380606055055827,-0.00031064795717331895,-0.8740367885117996,0.46115679047349023,342,1.0
R16,full,short,Q4,poc_dist_quintile,63042,728,736,0.001088433633906244,0.5442127444022474,0.5864619485625363,-0.002838060605505583,0.005014927873318071,-0.0004893520428266809,-1.3768372786217575,0.5240682985225089,342,1.0
R16,full,long,Q5,poc_dist_quintile,63243,728,729,-0.0011456780547894406,-0.5973639771587504,0.550450404030026,-0.004910940767839482,0.0026195846582606013,0.00042313974751125846,0.7775880231020811,0.4432257963430111,342,1.0
R16,full,short,Q5,poc_dist_quintile,63243,728,729,0.0003456780547894405,0.1802387824068705,0.8570153411660887,-0.0034195846582606012,0.0041109407678394825,-0.0012231397475112587,-2.247717979317347,0.5385049276906444,342,1.0
R16,full,long,Q1,node_rank_quintile,61812,728,744,-0.002051471332992777,-1.0342778358242546,0.30135021347787366,-0.005945507255188965,0.0018425645892034105,-0.000476482067046194,-1.069804293151801,0.4455634960789274,342,1.0
R16,full,short,Q1,node_rank_quintile,61812,728,744,0.0012514713329927778,0.6309466971666539,0.5282736780103242,-0.00264256458920341,0.005145507255188965,-0.0003235179329538067,-0.7263670503511839,0.5246173792056665,342,1.0
R16,full,long,Q2,node_rank_quintile,62812,728,743,-0.002031459128423905,-0.999804818441886,0.3177376286729087,-0.006020464145902314,0.0019575458890545047,-0.0004698737275063435,-1.2828274432331654,0.4537535834672211,342,1.0
R16,full,short,Q2,node_rank_quintile,62812,728,743,0.0012314591284239061,0.6060760726540928,0.5446534203987308,-0.0027575458890545038,0.005220464145902316,-0.0003301262724936567,-0.9012954274644255,0.5291087798884794,342,1.0
R16,full,long,Q3,node_rank_quintile,62920,728,742,-0.001586024282502403,-0.7643091773368437,0.4449310134243554,-0.005659944098562105,0.002487895533557299,-3.740251955486261e-05,-0.09606289999828051,0.4559166194344732,342,1.0
R16,full,short,Q3,node_rank_quintile,62920,728,742,0.0007860242825024038,0.3787871215807094,0.7049565448775217,-0.003287895533557298,0.004859944098562106,-0.0007625974804451377,-1.9586200709149266,0.5284495245292524,342,1.0
R16,full,long,Q4,node_rank_quintile,62998,728,740,-0.0019269485630371362,-0.9311445782253264,0.3520878818119666,-0.005989741811995801,0.0021358446859215284,-0.00036582646894228515,-0.9408543239830192,0.45509246133005704,342,1.0
R16,full,short,Q4,node_rank_quintile,62998,728,740,0.0011269485630371367,0.5445667126458886,0.5862185456149825,-0.002935844685921528,0.005189741811995802,-0.0004341735310577144,-1.1166333732922769,0.5307626878366885,342,1.0
R16,full,long,Q5,node_rank_quintile,63351,728,737,-0.0011365986449791018,-0.5586305616334509,0.5765858921911673,-0.005131022636074107,0.0028578253461159033,0.00046516359552296904,1.0803792827528518,0.4536765742757313,342,1.0
R16,full,short,Q5,node_rank_quintile,63351,728,737,0.00033659864497910253,0.1654359618677813,0.8686468421951352,-0.0036578253461159024,0.004331022636074108,-0.0012651635955229685,-2.938442627608056,0.5307804396534165,342,1.0
R16,full,long,above_VA,value_area,14559,701,668,0.0027817029174445553,0.6295468891066958,0.5291964940896602,-0.00589355344416846,0.01145695927905757,0.0003665239634325686,0.3054655019519779,0.4686283880658155,342,1.0
R16,full,short,above_VA,value_area,14559,701,668,-0.003581702917444554,-0.8106005552357979,0.4178705949766112,-0.012256959279057568,0.005093553444168461,-0.001166523963432569,-0.9721951729753597,0.5153956441592135,342,1.0
R16,full,long,below_VA,value_area,74765,726,727,0.001154428654319366,0.37904737787949294,0.7047636646319693,-0.004824829687049041,0.007133686995687773,-0.0006078655331079523,-1.1049462220893687,0.47685015929388413,342,1.0
R16,full,short,below_VA,value_area,74765,726,727,-0.0019544286543193663,-0.6417209533915103,0.5212572126581954,-0.007933686995687774,0.004024829687049041,-0.00019213446689204805,-0.3492520002574662,0.49310596960359326,342,1.0
R16,full,long,inside_VA,value_area,229868,728,748,-0.0029106024109802663,-1.4349453336190643,0.15173271961313428,-0.006892767378969178,0.0010715625570086457,2.854263160290809e-05,0.14445011836867602,0.39289807957875134,342,1.0
