run,universe,direction,horizon_h,bucket,bucket_type,n_obs,n_days,n_symbols,mean_ret_gross,se_gross,t_stat_gross,median_ret_gross,mean_ret_net,se_net,t_stat_clustered,p_value_raw,ci_lo_net,ci_hi_net,median_ret_net,mean_ret_neutral,t_stat_neutral,ci_lo_neutral,ci_hi_neutral,mean_ret_neutral_net,t_stat_neutral_net,hit_rate_gross,hit_rate_net,mean_ret_net_dayeq,sharpe_daily_ann,max_dd,mean_net_slip5bp,mean_net_slip10bp,mean_net_slip20bp,funding_cov,mean_stop_pct_1atr,mean_funding_paid,reliable,boot_ci_lo_net,boot_ci_hi_net,n_tests_bonferroni,p_value_bonferroni,n_tests_family,p_value_bonferroni_family
R8,exec,long,48,ALLELIGIBLE|ema21=-1,trigger_ema21_state,155096,730,720,-0.0006788968126819543,0.00235793397573862,-0.2879201960984894,-0.0024837374682152302,-0.002318657441508291,0.0023805718252176435,-0.9739918018631124,0.33038456980089576,-0.006992273246175916,0.002354958363159334,-0.005007474468085192,0.00021841896330810197,0.6359807324447583,-0.0004558235224396233,0.0008926614490558272,-0.0013642814281052116,-3.847655986983162,0.4730822297584815,0.45602893579708836,-0.003441314657509028,-0.8066522190597734,-0.8560498314422568,-0.0018186574415082935,-0.002318657441508294,-0.003318657441508295,0.9886332864824439,0.10945333229396649,-0.00039948069180052693,True,-0.0072201892961454685,0.0023788966265930215,194,1.0,14,1.0
R8,exec,long,48,ALLELIGIBLE|ema21=0,trigger_ema21_state,29507,730,118,0.00047625626203228567,0.0002938732422731478,1.6206179860009762,0.0,0.000207924338355453,0.0016722610515747867,0.12433724875649549,0.9010950447640186,-0.0030770926210499385,0.0034929412977608445,-0.0025999999999999964,0.002189396712693636,1.2821978442170776,-0.0011628745295966555,0.005541667954983927,0.0024840605744748914,0.593172167538647,0.0004066555965976482,0.0004066555965976482,0.018287468565353845,0.7716341311689228,-0.4636265645692462,0.0007079243383554508,0.0002079243383554509,-0.0007920756616445495,0.17625131315869735,1.6080865065246072e-05,0.0004940355777734954,True,-0.0026748014672199733,0.00377680340448294,194,1.0,14,1.0
R8,exec,long,48,ALLELIGIBLE|ema21=1,trigger_ema21_state,138630,730,720,-0.002806281374357968,0.0025551989802623906,-1.0982633431036335,-0.00790059117686187,-0.00441243472160456,0.0025641514762694303,-1.7208167155647864,0.085709569971737,-0.009446460050354726,0.0006215906071456063,-0.010043303359829612,-0.000724668196399788,-2.100178898829917,-0.0014020798182918885,-4.725657450768738e-05,-0.0022885538806019286,-6.525981979381692,0.44240146575105316,0.42837872929770904,-0.0032123108556172237,-0.7314208505940831,-0.8640163271510043,-0.003912434721604562,-0.004412434721604562,-0.005412434721604564,0.994719833804605,0.0945945197911875,-0.00042233643763597357,True,-0.009517476349480596,0.000673676890734317,194,1.0,14,1.0
R8,exec,long,48,ALLELIGIBLE|ema9=-1,trigger_ema9_state,148418,730,720,-0.0018497348967379456,0.0023533777206719334,-0.7859915050992374,-0.004778089049756795,-0.003423289256375329,0.0023690329361024465,-1.445015476233671,0.14888441467369173,-0.00807425153974785,0.0012276730269971917,-0.006998710634619031,9.873068287122914e-05,0.282746190816002,-0.0005867971785100532,0.0007842585442525116,-0.001406008254627009,-3.949964566438384,0.4623941356007573,0.44604873973359566,-0.002329545514838618,-0.5488871760532161,-0.8190003839371008,-0.0029232892563753323,-0.0034232892563753332,-0.004423289256375333,0.9922921958482964,0.10809965860315292,-0.0004323193701664274,True,-0.008197424962489533,0.0012610079416799608,194,1.0,14,1.0
R8,exec,long,48,ALLELIGIBLE|ema9=0,trigger_ema9_state,30396,730,119,0.00046232706684388254,0.0002852172300542395,1.6209647178607065,0.0,9.779665567412221e-05,0.00160536881986596,0.06091849702318731,0.9514467833363027,-0.0030557760899051736,0.0032513694012534177,-0.0025999999999999964,0.0022063636178046896,1.285405356263243,-0.0011634564665122353,0.0055761837021216145,0.0022154267640512385,0.5296976570795381,0.00039472385776783656,0.00039472385776783656,0.008561244399717333,0.7155922468262402,-0.46305268873513095,0.0005977966556741196,9.779665567411945e-05,-0.0009022033443258808,0.1782178217821782,0.003547373461642499,0.0004964431598375678,True,-0.002661195700201541,0.0034056301025218597,194,1.0,14,1.0
R8,exec,long,48,ALLELIGIBLE|ema9=1,trigger_ema9_state,144419,729,720,-0.0015219258759783213,0.0025649699158315125,-0.5933503806749105,-0.005650694804820389,-0.0031951601178940837,0.0025714324034975464,-1.2425604163454467,0.21443104879178818,-0.008243491194632017,0.0018531709588438506,-0.007780288836846283,-0.0005795660872142274,-1.7088782470869843,-0.00124539487419344,8.626269976498525e-05,-0.002203877200233666,-6.4211269267007225,0.4575373387526745,0.4425602924782407,-0.002710456181018212,-0.6239557405569226,-0.8165254482475846,-0.0026951601178940863,-0.0031951601178940876,-0.004195160117894087,0.995319240276691,0.09651386995832983,-0.0003892011177432316,True,-0.008218792692045975,0.0017643849741704695,194,1.0,14,1.0
R8,exec,long,48,ALLELIGIBLE|none,trigger_none,323233,730,728,-0.0014858509912761965,0.0018267291087788612,-0.8133942707408127,0.0,-0.003248325051156389,0.001987602339101355,-1.634293232229259,0.10263021240070605,-0.007150450417430166,0.0006538003151173883,-0.006019455778485472,-6.132776456049111e-06,-0.10665821830479093,-0.00011901681598106519,0.00010675126306896696,-0.0017267208615713665,-9.470607816122676,0.4167731397122289,0.40257638989862116,-0.002938682181403037,-0.6982374671470771,-0.8485538396636272,-0.0027483250511563927,-0.0032483250511563936,-0.004248325051156394,0.917080957669617,0.09309012954154584,-0.0003944362620091817,True,-0.007198124571768016,0.0006479622001219507,194,1.0,14,1.0
R8,exec,short,48,D6|ema21=-1,trigger_ema21_state,16739,541,616,0.01008682615384937,0.00430558102259968,2.342732862511321,0.009843955082397549,0.00843181562270738,0.004329200231637385,1.9476612703400666,0.05197528339641623,-7.239248868119892e-05,0.01693602373409596,0.008374737524231462,0.0013245766590908642,2.095308476058526,8.277650899152678e-05,0.0025663768091902014,-0.0004593569197903148,-0.7211320390445811,0.5708226297867256,0.5573212258796821,0.0010984243065981897,0.2220962442933426,-0.6050678363657498,0.008931815622707376,0.008431815622707377,0.007431815622707378,0.9943843718262739,0.0956068100948526,0.00019883201982576716,True,0.0007270546397254237,0.016946142463096774,194,1.0,14,0.7276539675498273
R8,exec,short,48,D6|ema21=0,trigger_ema21_state,481,42,31,0.00017109475420270558,0.00017055437108445446,1.003168392078228,0.0,-0.0012239825441972257,0.00017231409190559657,-7.103206305772094,1.1788177410613612e-08,-0.0015719779125849785,-0.0008759871758094728,-0.0013999999999999829,-0.030585594998165277,-2.5340258771061817,-0.05496137693558601,-0.006209813060744543,-0.031018125961469172,-2.5182145196435215,0.002079002079002079,0.002079002079002079,-0.0012826204060711582,-20.567878171847692,-0.02590559962489758,-0.0007239825441972246,-0.001223982544197225,-0.002223982544197225,0.975051975051975,1.3303138303138318e-05,0.0006005450106609812,False,-0.0014091909497701168,-0.0008175972439085307,194,2.2869064176590407e-06,14,1.6503448374859057e-07
R8,exec,short,48,D6|ema21=1,trigger_ema21_state,14614,541,600,0.010685463544565434,0.003997904176822896,2.672766297529695,0.016628434087057775,0.008968137715519759,0.004004709078477445,2.2393980535857962,0.025537833934044005,0.0011013545669707678,0.01683492086406875,0.015031486799363685,0.0028256151964903015,3.9680889016288368,0.0014268197691310843,0.0042244106238495185,0.0010647165053372682,1.4834065303287896,0.6090734911728479,0.5985356507458601,0.0010948059679678384,0.21322275910172203,-0.686463796784391,0.009468137715519756,0.008968137715519757,0.007968137715519758,0.9978787464075544,0.08426844435310665,0.0002732775087430516,True,0.001170354078910256,0.016669502402712335,194,1.0,14,0.35752967507661604
R8,exec,short,48,D6|ema9=-1,trigger_ema9_state,16420,541,611,0.012489579604976186,0.004539920123812958,2.75105712531491,0.012560324471950657,0.010813861398808924,0.004562016817772452,2.370412436157816,0.018119812883223067,0.0018523123019407277,0.01977541049567712,0.011104445080713581,0.0015453983919402128,2.3752570685879433,0.00026733493707032513,0.0028234618468101005,-0.00025090171742847984,-0.38289004371609203,0.5889159561510353,0.5759439707673569,-0.0001627375913415414,-0.034442041791173904,-0.6115057311550784,0.011313861398808923,0.010813861398808924,0.009813861398808923,0.9948233861144945,0.0939922462583434,0.00020223098255279406,True,0.0025788498359353247,0.019680830261622095,194,1.0,14,0.25367738036512294
R8,exec,short,48,D6|ema9=0,trigger_ema9_state,509,43,31,0.0001616828620265253,0.0001613208717333212,1.0022439148097495,0.0,-0.0012338990205804825,0.00016278637222481865,-7.579866813890214,2.178027079095177e-09,-0.0015624152198355815,-0.0009053828213253835,-0.0013999999999999829,-0.031810884633009365,-2.5912821658847327,-0.05658509296644497,-0.00703667629957376,-0.03232750535213946,-2.5811196945612216,0.0019646365422396855,0.0019646365422396855,-0.0012858935597223275,-20.863447195027863,-0.026598846034738832,-0.0007338990205804813,-0.0012338990205804819,-0.002233899020580482,0.9764243614931237,0.005312230214477079,0.0006005143058350087,False,-0.0014089978239585042,-0.000842528298240738,194,4.2253725334446433e-07,14,3.049237910733248e-08
R8,exec,short,48,D6|ema9=1,trigger_ema9_state,14905,551,601,0.00804574640160046,0.0038061593457168275,2.1138753454067953,0.013143483023001057,0.006358876380480673,0.003814757302261903,1.6669150555686134,0.09610266987626243,-0.0011344603949645033,0.01385221315592585,0.011507829989615673,0.002654831041023631,3.8583419696406325,0.001303253355618946,0.004006408726428316,0.0009080735624421176,1.3098862680741745,0.5894666219389466,0.5782623280778262,0.0019778935298757597,0.4100951397372611,-0.6482862743951221,0.006858876380480669,0.00635887638048067,0.005358876380480669,0.9973163367997316,0.0862671070125726,0.0002673744890682763,True,-0.0010119739924476113,0.013469566275183517,194,1.0,14,1.0
R8,exec,short,48,D6|none,trigger_none,31834,586,641,0.010211818929645516,0.003322899702552936,3.073164959447895,0.011673820999589135,0.008535693457808637,0.003335971945351322,2.558682626124338,0.010758399892338904,0.001983706522971654,0.01508768039264562,0.01021744620178028,0.0015315058737172126,3.204145493195906,0.0005927471563345061,0.002470264591099919,-0.00021032704068225572,-0.4358474144085736,0.579788904944399,0.5678519821574417,0.000637184791478533,0.13917828864356052,-0.6131394779488475,0.009035693457808639,0.008535693457808639,0.0075356934578086395,0.9956964252057549,0.08895733614260105,0.00023902642174337686,True,0.002066152508602853,0.015204062399616813,194,1.0,14,0.15061759849274467
R8,full,long,48,ALLELIGIBLE|ema21=-1,trigger_ema21_state,166301,730,748,-0.000825291325944116,0.00234257379118248,-0.3523011010583906,-0.002356637863315081,-0.002463102699632326,0.00236383739610334,-1.04199328756395,0.29776117032159066,-0.007103864930397156,0.0021776595311325036,-0.004843599967532075,0.00020307869090885274,0.6363993285519829,-0.0004233972175245204,0.000829554599342226,-0.0013725891741877435,-4.179681038089076,0.4738826387343888,0.4564630472559784,-0.003046261526561417,-0.7343173584828062,-0.826750724223772,-0.001963102699632329,-0.00246310269963233,-0.0034631026996323304,0.988978214987944,0.10830408285006837,-0.0004163253494169353,True,-0.007388270988448603,0.002246242932030335,194,1.0,14,1.0
R8,full,long,48,ALLELIGIBLE|ema21=0,trigger_ema21_state,30654,730,122,0.0004183489579622161,0.00028398032001216296,1.4731617949592355,0.0,-0.00022257555681233027,0.0015528888457363825,-0.14332999906814617,0.8860836329397711,-0.0032730958027461575,0.002827944689121497,-0.002600000000000012,0.0021497589678833085,1.260479997754486,-0.0011985347120126969,0.005498052647779314,0.002014719863858765,0.49129530907028957,0.00039141496509883226,0.00039141496509883226,0.018191240488017093,0.767583192239884,-0.4770629521225074,0.0002774244431876666,-0.0002225755568123329,-0.0012225755568123337,0.18357361863135233,1.5720692244157852e-05,0.0005020396304193241,True,-0.002871592773174949,0.003105293973045605,194,1.0,14,1.0
R8,full,long,48,ALLELIGIBLE|ema21=1,trigger_ema21_state,149903,730,749,-0.002744959026030835,0.002533693445728479,-1.0833824552289568,-0.00747790618626798,-0.004331778802954992,0.002542736408365861,-1.7035894041958104,0.08888518167370867,-0.009323761375947096,0.0006602037700371112,-0.009611581045478265,-0.0006649026422308301,-2.078149829617328,-0.0012930346653783173,-3.6770619083342847e-05,-0.0022068309969158393,-6.810804919011011,0.4437076815316367,0.42885160601714417,-0.0027616826424500802,-0.65338996563511,-0.8382432260742916,-0.0038317788029549943,-0.004331778802954996,-0.005331778802954996,0.9946432740735799,0.09331929679779835,-0.0004382232790304677,True,-0.009477856604459857,0.000685929407809845,194,1.0,14,1.0
R8,full,long,48,ALLELIGIBLE|ema9=-1,trigger_ema9_state,159368,730,749,-0.0019519257052794383,0.0023413630000907954,-0.8336706889122895,-0.0045337385868602365,-0.0035230610891054813,0.0023564016133808775,-1.4951021375557132,0.13532171724052688,-0.008149225150101332,0.0011031029718903697,-0.0067626435225913405,0.00014422198754817384,0.44911493392868257,-0.0004862179423414753,0.0007746619174378229,-0.0013544983279956395,-4.141440774260052,0.46332770704833376,0.44656807072804966,-0.0020449711995012363,-0.49211269752694964,-0.7978027192726393,-0.0030230610891054835,-0.0035230610891054844,-0.004523061089105484,0.9924703992570794,0.10690768189867046,-0.00044950269746034957,True,-0.00824844863825181,0.0011533915412839026,194,1.0,14,1.0
R8,full,long,48,ALLELIGIBLE|ema9=0,trigger_ema9_state,31565,730,123,0.0004062749550886669,0.00027573469781915963,1.4734270235192597,0.0,-0.00031464232245623165,0.001491509181900867,-0.2109556724654105,0.8330018884617173,-0.0032445501714305075,0.002615265526518044,-0.0026000000000000016,0.002174285073252929,1.2683494275439482,-0.00119119713735204,0.005539767283857898,0.0018082187148149831,0.4412645644171764,0.0003800836183960471,0.0003800836183960471,0.008467985941891422,0.707857373218742,-0.47615924412215627,0.00018535767754376242,-0.0003146423224562375,-0.0013146423224562375,0.18560750031673634,0.0034396455587680057,0.0005042199726962371,True,-0.0028891604600136027,0.0027544931491427158,194,1.0,14,1.0
R8,full,long,48,ALLELIGIBLE|ema9=1,trigger_ema9_state,155925,730,748,-0.0015241293562671737,0.0025437112815545524,-0.5991754517579228,-0.005362713312046075,-0.0031780836900625977,0.0025503835117287686,-1.2461199170427293,0.21312177185589637,-0.008185079304357726,0.0018289119242325311,-0.007495952834177378,-0.0005875624694488125,-1.870418310157373,-0.0012042782116190565,2.9153272721431562e-05,-0.0021898802663944273,-6.898164306527388,0.45843888486278833,0.44270716424993745,-0.0027218666637933734,-0.6425994293227033,-0.8154715148150331,-0.0026780836900626016,-0.003178083690062601,-0.004178083690062602,0.9951644038556504,0.09526674403117273,-0.00040500358767311874,True,-0.008259896732342857,0.0018093542454441461,194,1.0,14,1.0
R8,full,long,48,ALLELIGIBLE|none,trigger_none,346858,730,752,-0.001545013511920033,0.0018190159929505603,-0.849367744927807,0.0,-0.003296486371522201,0.001972493298612199,-1.6712281729126954,0.09510697615430933,-0.007168949179550323,0.0005759764365059219,-0.005795885726031151,-5.530982092246021e-19,-1.4086191002096446,-1.3239633582324136e-18,2.1776693978320937e-19,-0.0017025676048818875,-11.133014290215483,0.41899270620117046,0.4042206013780379,-0.0029044378533482043,-0.6975430415836877,-0.8445319397103689,-0.002796486371522203,-0.003296486371522204,-0.004296486371522204,0.9202410124830628,0.09225715183787327,-0.00041036197488127297,True,-0.007205467934393361,0.0006380715067993698,194,1.0,14,1.0
R8,full,short,48,D6|ema21=-1,trigger_ema21_state,17996,544,639,0.010713298753859754,0.004498889969069935,2.3813204651623288,0.009887880470691224,0.009063152883775462,0.0045225795759311245,2.003978643517734,0.04557038954545039,0.000179184714368218,0.017947121053182705,0.008412479962585996,0.0014498939230524516,2.3964227589352753,0.0002614191043432306,0.0026383687417616724,-0.0003264037983375284,-0.5358120055136398,0.571349188708602,0.5579573238497444,0.001443327374119495,0.2987567076033637,-0.6178947973101512,0.009563152883775466,0.009063152883775464,0.008063152883775463,0.9946654812180484,0.09534947015638709,0.00020747766480446324,True,0.0011330296169617304,0.01780774460220913,194,1.0,14,0.6379854536363054
R8,full,short,48,D6|ema21=0,trigger_ema21_state,527,42,33,0.0005069959140926613,0.0003777668580237708,1.3420868012216116,0.0,-0.0008792948312707533,0.00038915124045856415,-2.2595195385594007,0.02923094755757347,-0.0016652017050749071,-9.338795746659939e-05,-0.0013999999999999829,-0.030506046449453858,-2.524416248629727,-0.05491097994023659,-0.006101112958671127,-0.03094735438065762,-2.509459306195449,0.003795066413662239,0.003795066413662239,-0.0010316798344850967,-7.516566128527414,-0.0221860635223472,-0.00037929483127075196,-0.0008792948312707524,-0.001879294831270752,0.9753320683111955,1.2141953555615808e-05,0.0006008864007782119,False,-0.0014069337069423716,2.4929483100480397e-05,194,1.0,14,0.4092332658060286
R8,full,short,48,D6|ema21=1,trigger_ema21_state,15849,549,620,0.010811316405057763,0.003998057519124932,2.704142287433642,0.016387046429964802,0.009109469020641619,0.004004826129044386,2.274622849310884,0.02331557235907002,0.001242715818505307,0.01697622222277793,0.014863552960800637,0.0027455522836829418,4.063115195811803,0.0014182222491751911,0.0040728823181906924,0.0009983356691032057,1.46638101948901,0.6072307401097861,0.5968199886428166,0.0008365432935355598,0.16762560424669234,-0.6853545343111955,0.00960946902064162,0.009109469020641619,0.00810946902064162,0.9978547542431699,0.08376514350621427,0.0002909410211824166,True,0.0010740238848645988,0.017046433811261603,194,1.0,14,0.32641801302698026
R8,full,short,48,D6|ema9=-1,trigger_ema9_state,17687,545,635,0.013190676823622335,0.004782122493476448,2.7583310217620842,0.012621359223300876,0.011520196175732475,0.004804050530530185,2.398017277820157,0.01682127881660724,0.002083357148420978,0.020957035203043973,0.011171172268087034,0.0016518474307751535,2.6433580825593954,0.000424325272992211,0.002879369588558096,-0.00013340713394684506,-0.2121382030806253,0.5889071069146831,0.576072821846554,0.00029242841224704527,0.06308700930536625,-0.5994684509490738,0.012020196175732476,0.011520196175732472,0.010520196175732473,0.9951942104370441,0.09375264888074474,0.00021286821781615092,True,0.002538545549583132,0.021359242208155178,194,1.0,14,0.23549790343250135
R8,full,short,48,D6|ema9=0,trigger_ema9_state,557,43,33,0.00047968913236415164,0.00035814158822787307,1.3393840540488755,0.0,-0.0009080101898403823,0.0003684794741059271,-2.464208330853609,0.017907243885694295,-0.0016516318743977163,-0.00016438850528304827,-0.0013999999999999829,-0.0314171114737912,-2.5620048051098796,-0.056164253904675984,-0.006669969042906412,-0.031933060227385214,-2.552796921657464,0.003590664272890485,0.003590664272890485,-0.0010407900953722132,-7.6707865748397515,-0.02288198397186192,-0.0004080101898403812,-0.0009080101898403813,-0.0019080101898403807,0.9766606822262118,0.004945852061811735,0.000600837518382353,False,-0.0014063844600340017,-6.534743775585583e-05,194,1.0,14,0.25070141439972016
R8,full,short,48,D6|ema9=1,trigger_ema9_state,16128,555,621,0.008112696992733903,0.003765175340057069,2.154666452428996,0.012977176178827043,0.006439109376098055,0.003774096104652786,1.7061328587154376,0.08854583350967421,-0.0009742376086742709,0.013852456360870381,0.011371397639902749,0.00259256995828759,3.9789913920495272,0.0013127307448096215,0.0038724091717655586,0.0008554950942235492,1.3033223086974384,0.5884176587301587,0.5773189484126984,0.0017156364150483574,0.36432363772317744,-0.6407474720690616,0.006939109376098056,0.006439109376098055,0.005439109376098055,0.9972098214285714,0.08572366584955944,0.00028291836597649217,True,-0.001118127455930091,0.013513208718567723,194,1.0,14,1.0
R8,full,short,48,D6|none,trigger_none,34372,587,667,0.010602009336813321,0.0034107873313579794,3.108375957463232,0.011647386342371058,0.008935251735012851,0.003423940714879598,2.6096397335918993,0.009296143463159417,0.0022105144510461243,0.015659989018979577,0.010157096744856703,0.0015573682853625246,3.370595582054149,0.0006499016067378174,0.002464834963987232,-0.0001741473468413504,-0.37352546960126937,0.579192365879204,0.567380425928081,0.0006356128943403571,0.14113125035914087,-0.6100183442836976,0.009435251735012848,0.008935251735012851,0.00793525173501285,0.995839636913767,0.08854617779511974,0.00025194829121504605,True,0.0022433782750885325,0.015777957240116755,194,1.0,14,0.13014600848423183
R8,live_diag,long,48,ALLELIGIBLE|ema21=-1,trigger_ema21_state,154016,729,720,-0.0006836574126046669,0.0023744732594640503,-0.28791960906688724,-0.0030062002998857418,-0.00231832472998156,0.002384165146604384,-0.9723842885982138,0.3311832622421861,-0.006999005810809299,0.0023623563508461793,-0.005112581649297029,0.00020076628242557976,0.5676674988682272,-0.0004935661816881879,0.0008950987465393475,-0.0013600837743198597,-3.815670997216006,0.4764118479658222,0.45923853056136293,-0.003557668799696527,-0.8250042293838682,-0.8635089815614029,-0.0018183247299815622,-0.0023183247299815636,-0.0033183247299815636,0.9940786141879521,0.10889963559659897,-0.00040090995650073156,True,-0.006987401606442404,0.002174353982652146,194,1.0,14,1.0
R8,live_diag,long,48,ALLELIGIBLE|ema21=1,trigger_ema21_state,138263,730,720,-0.002813730259919466,0.0025619867953405717,-1.0982610312577468,-0.008109702152757192,-0.004414064959570208,0.002566465873130495,-1.719900118596188,0.08587618548028257,-0.009452633987289488,0.0006245040681490737,-0.010108556300787695,-0.0007425932193165711,-2.1320478073515052,-0.001426384837104264,-5.880160152887807e-05,-0.0023009205321033997,-6.534881232195516,0.44357574223411567,0.42951578490579684,-0.003469501031352518,-0.7798890062636943,-0.8773422354075808,-0.003914064959570209,-0.004414064959570209,-0.0054140649595702086,0.9964633132029075,0.09454686572838226,-0.0004232575502990415,True,-0.00952573857580614,0.0006765244930661043,194,1.0,14,1.0
R8,live_diag,long,48,ALLELIGIBLE|ema9=-1,trigger_ema9_state,148008,730,720,-0.0018548588853579023,0.0023598943040167514,-0.785992356607144,-0.004995231834468983,-0.0034237971229155026,0.0023704202739286686,-1.4443840025216272,0.14906181416143166,-0.008077483072897181,0.0012298888270661753,-0.007041401480480351,8.9140637423125e-05,0.2530445600522607,-0.0006024489758479036,0.0007807302506941537,-0.0014118452399288523,-3.961138336946059,0.4636781298560908,0.4472873454496318,-0.0024034535865256217,-0.5648720316403869,-0.824293590939289,-0.002923797122915507,-0.0034237971229155078,-0.004423797122915507,0.9944598337950139,0.10765628151823443,-0.00043290270996671604,True,-0.00820032683782746,0.001263055751172407,194,1.0,14,1.0
R8,live_diag,long,48,ALLELIGIBLE|ema9=1,trigger_ema9_state,144271,729,720,-0.0015234871393621258,0.0025676070725223353,-0.5933490196634723,-0.0057388809182209455,-0.0031953797294623798,0.002572382594875728,-1.242186809935537,0.21456874892802477,-0.00824557625701162,0.0018548167980868605,-0.007808095956340027,-0.0005887910528937269,-1.7299873754474537,-0.0012569641604227902,7.938205463533642e-05,-0.0022091621607342364,-6.424689762339808,0.45800669563951674,0.4430142854172298,-0.0025278868314819935,-0.5717227534013212,-0.8061397998872697,-0.002695379729462382,-0.003195379729462383,-0.004195379729462383,0.9959729124645638,0.09642012183664218,-0.0003895658921164771,True,-0.00822097230149351,0.0017657461114175851,194,1.0,14,1.0
R8,live_diag,long,48,ALLELIGIBLE|none,trigger_none,292279,730,725,-0.0016912914269823207,0.0020208701614839726,-0.8369124643516759,-0.005370201096892124,-0.0033109626369925127,0.0020262120878466357,-1.6340651883639932,0.10267809466121339,-0.007288887914043481,0.0006669626400584547,-0.007433880043882177,-0.0002454912823990396,-1.1899946507142765,-0.0006504966672828675,0.00015951410248478827,-0.0018057068610458956,-8.682371572941987,0.46087866896124646,0.4451781321527424,-0.0030220440761049346,-0.6956145154590653,-0.8588176580672646,-0.0028109626369925166,-0.0033109626369925175,-0.0043109626369925175,0.9952067003554774,0.1021100319390856,-0.0004114948743820578,True,-0.00733607399121575,0.0006592658064596866,194,1.0,14,1.0
R8,live_diag,short,48,D6|ema21=-1,trigger_ema21_state,16709,540,616,0.010104936440797452,0.004315243070284617,2.3416841823770005,0.009936733745576798,0.008449561904301189,0.0043389120533313475,1.9473918347374084,0.05200860763250756,-7.37597321522343e-05,0.016972883540754612,0.008492489543450278,0.0014200627785945772,2.1999731690051716,0.00015207651160799502,0.002688049045581159,-0.0003640298320129388,-0.5595644380709722,0.5718475073313783,0.5583218624693279,0.001188152113407981,0.23964889345588597,-0.6050943541696305,0.00894956190430119,0.00844956190430119,0.0074495619043011925,0.9943742893051649,0.09552046277967599,0.00019810165332530212,True,0.0003750908542073559,0.01645585283321991,194,1.0,14,0.7281205068551058
