fold,train_start,test_start,test_end,fund_th,zq,is_net,oos_net,oos_t,n_oos,fixed_oos_net,fixed_oos_t
1,2024-08-01,2025-02-01,2025-04-01,0.0,0.3,0.00902552607246338,-0.007038818592478757,-0.9443407041051746,4205,-0.00762543774081568,-1.0264829984544384
2,2024-10-01,2025-04-01,2025-06-01,0.0,0.3,-0.0008826325543269381,0.024230415009506987,2.276163826971163,3880,0.02483383199540103,2.348718987138628
3,2024-12-01,2025-06-01,2025-08-01,-0.0003,0.2,0.011380894531116494,0.014883215431716303,1.6541859755833348,1831,0.012595333912048694,1.502778247052357
4,2025-02-01,2025-08-01,2025-10-01,-0.0003,0.1,0.01398079404018349,0.01846782465721082,2.402262311513232,890,0.014600388025370978,2.750475005611612
5,2025-04-01,2025-10-01,2025-12-01,-0.0003,0.1,0.022214948833593855,0.0019712889172711183,0.18245756203162505,1724,0.002321779876295242,0.22435846745432686
6,2025-06-01,2025-12-01,2026-02-01,-0.0003,0.2,0.010914099324339102,0.0021824725928692086,0.35882172316806793,2908,-0.0009727944576479455,-0.16081981653894084
7,2025-08-01,2026-02-01,2026-04-01,-0.0003,0.2,0.0061253864023857124,0.001904190619852452,0.3417445055819879,2862,0.0024905133885906577,0.45026856614651917
8,2025-10-01,2026-04-01,2026-06-01,-0.0003,0.2,0.0033304994554287097,0.008213669362467684,1.348014140632711,1892,0.005861173516647698,1.2186742863006679
9,2025-12-01,2026-06-01,2026-07-30,-0.0003,0.2,0.0035678264536505113,0.0005333073002110431,0.07868648773724066,1853,-0.004232104052953716,-0.8461860894433992
